,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Sales
2577,298118,Google Phone,1,600,17/12/2019 18:46,"425 6th St, Portland, OR 97035",600
,,,,,,,
2578,298118,USB-C Charging Cable,2,11.95,17/12/2019 18:46,"425 6th St, Portland, OR 97035",23.9
,,,,,,,
2579,298119,Wired Headphones,2,11.99,18/12/2019 20:26,"427 2nd St, Seattle, WA 98101",23.98
,,,,,,,
2580,298120,AA Batteries (4-pack),2,3.84,29/12/2019 15:32,"884 8th St, Atlanta, GA 30301",7.68
,,,,,,,
2581,298121,AAA Batteries (4-pack),1,2.99,28/12/2019 01:29,"666 Hill St, Los Angeles, CA 90001",2.99
,,,,,,,
2582,298122,AA Batteries (4-pack),2,3.84,20/12/2019 15:41,"618 Main St, New York City, NY 10001",7.68
,,,,,,,
2583,298123,USB-C Charging Cable,1,11.95,26/12/2019 14:18,"378 13th St, Seattle, WA 98101",11.95
,,,,,,,
2584,298124,Lightning Charging Cable,1,14.95,8/12/2019 17:38,"837 1st St, San Francisco, CA 94016",14.95
,,,,,,,
2585,298125,Wired Headphones,1,11.99,26/12/2019 19:30,"527 Maple St, Portland, OR 97035",11.99
,,,,,,,
2586,298126,AAA Batteries (4-pack),1,2.99,28/12/2019 14:05,"627 Washington St, Dallas, TX 75001",2.99
,,,,,,,
2587,298127,Lightning Charging Cable,1,14.95,12/12/2019 23:28,"622 Center St, Dallas, TX 75001",14.95
,,,,,,,
2588,298128,AAA Batteries (4-pack),1,2.99,5/12/2019 21:34,"419 Cherry St, New York City, NY 10001",2.99
,,,,,,,
2589,298129,27in 4K Gaming Monitor,1,389.99,25/12/2019 12:58,"347 Madison St, Los Angeles, CA 90001",389.99
,,,,,,,
2590,298130,Bose SoundSport Headphones,1,99.99,2/12/2019 13:00,"953 Chestnut St, Austin, TX 73301",99.99
,,,,,,,
2591,298131,34in Ultrawide Monitor,1,379.99,16/12/2019 21:22,"133 Park St, New York City, NY 10001",379.99
,,,,,,,
2592,298132,iPhone,1,700,28/12/2019 21:54,"903 1st St, San Francisco, CA 94016",700
,,,,,,,
2593,298133,Bose SoundSport Headphones,1,99.99,3/12/2019 12:07,"312 Ridge St, Boston, MA 02215",99.99
,,,,,,,
2594,298134,AA Batteries (4-pack),1,3.84,31/12/2019 16:12,"605 Adams St, San Francisco, CA 94016",3.84
,,,,,,,
2595,298135,AAA Batteries (4-pack),2,2.99,15/12/2019 11:18,"151 Willow St, Dallas, TX 75001",5.98
,,,,,,,
2596,298136,ThinkPad Laptop,1,999.99,30/12/2019 14:09,"252 Lincoln St, Dallas, TX 75001",999.99
,,,,,,,
2597,298137,34in Ultrawide Monitor,2,379.99,18/12/2019 16:07,"587 Hickory St, San Francisco, CA 94016",759.98
,,,,,,,
2598,298138,iPhone,1,700,29/12/2019 18:02,"884 Hickory St, Boston, MA 02215",700
,,,,,,,
2599,298139,Lightning Charging Cable,1,14.95,24/12/2019 17:15,"249 Wilson St, Boston, MA 02215",14.95
,,,,,,,
2600,298140,USB-C Charging Cable,1,11.95,29/12/2019 12:13,"812 Madison St, Atlanta, GA 30301",11.95
,,,,,,,
2601,298141,Bose SoundSport Headphones,1,99.99,17/12/2019 13:42,"876 Jackson St, New York City, NY 10001",99.99
,,,,,,,
2602,298142,USB-C Charging Cable,1,11.95,18/12/2019 01:47,"763 Sunset St, Los Angeles, CA 90001",11.95
,,,,,,,
2603,298143,USB-C Charging Cable,1,11.95,23/12/2019 09:13,"813 Johnson St, Boston, MA 02215",11.95
,,,,,,,
2604,298144,AAA Batteries (4-pack),2,2.99,2/12/2019 17:49,"969 West St, Austin, TX 73301",5.98
,,,,,,,
2605,298145,Wired Headphones,1,11.99,14/12/2019 17:11,"711 14th St, Dallas, TX 75001",11.99
,,,,,,,
2606,298146,USB-C Charging Cable,1,11.95,27/12/2019 14:58,"556 Jackson St, San Francisco, CA 94016",11.95
,,,,,,,
2607,298147,Wired Headphones,1,11.99,18/12/2019 19:05,"883 8th St, Boston, MA 02215",11.99
,,,,,,,
2608,298148,20in Monitor,1,109.99,13/12/2019 08:27,"12 Maple St, San Francisco, CA 94016",109.99
,,,,,,,
2609,298149,AA Batteries (4-pack),2,3.84,1/12/2019 15:05,"504 Center St, San Francisco, CA 94016",7.68
,,,,,,,
2610,298150,Wired Headphones,1,11.99,11/12/2019 10:23,"498 Cherry St, Atlanta, GA 30301",11.99
,,,,,,,
2611,298151,Lightning Charging Cable,1,14.95,3/12/2019 0:57,"55 6th St, Portland, OR 97035",14.95
,,,,,,,
2612,298152,AAA Batteries (4-pack),3,2.99,13/12/2019 01:45,"393 2nd St, Los Angeles, CA 90001",8.97
,,,,,,,
2613,298153,Apple Airpods Headphones,1,150,26/12/2019 13:44,"706 Washington St, Los Angeles, CA 90001",150
,,,,,,,
2614,298154,Bose SoundSport Headphones,2,99.99,22/12/2019 19:38,"606 Dogwood St, Dallas, TX 75001",199.98
,,,,,,,
2615,298155,AA Batteries (4-pack),1,3.84,5/12/2019 13:46,"590 Wilson St, San Francisco, CA 94016",3.84
,,,,,,,
2616,298156,Lightning Charging Cable,1,14.95,2/12/2019 22:14,"347 Hill St, Dallas, TX 75001",14.95
,,,,,,,
2617,298157,USB-C Charging Cable,1,11.95,15/12/2019 09:23,"981 Wilson St, Los Angeles, CA 90001",11.95
,,,,,,,
2618,298158,AA Batteries (4-pack),1,3.84,5/12/2019 16:03,"986 5th St, New York City, NY 10001",3.84
,,,,,,,
2619,298159,Apple Airpods Headphones,1,150,10/12/2019 6:40,"563 11th St, Portland, OR 97035",150
,,,,,,,
2620,298160,AA Batteries (4-pack),2,3.84,12/12/2019 13:46,"996 7th St, San Francisco, CA 94016",7.68
,,,,,,,
2621,298161,Bose SoundSport Headphones,1,99.99,13/12/2019 17:26,"632 South St, Portland, OR 97035",99.99
,,,,,,,
2622,298162,iPhone,1,700,15/12/2019 09:50,"934 Madison St, San Francisco, CA 94016",700
,,,,,,,
2623,298163,34in Ultrawide Monitor,1,379.99,2/12/2019 9:23,"848 Lincoln St, Boston, MA 02215",379.99
,,,,,,,
2624,298164,Google Phone,1,600,19/12/2019 12:00,"873 North St, Seattle, WA 98101",600
,,,,,,,
2625,298165,Wired Headphones,1,11.99,2/12/2019 22:03,"951 Walnut St, New York City, NY 10001",11.99
,,,,,,,
2626,298166,20in Monitor,1,109.99,31/12/2019 11:29,"414 Forest St, Portland, OR 97035",109.99
,,,,,,,
2627,298167,Wired Headphones,1,11.99,28/12/2019 19:30,"480 Walnut St, Los Angeles, CA 90001",11.99
,,,,,,,
2628,298168,USB-C Charging Cable,1,11.95,16/12/2019 22:51,"167 Walnut St, San Francisco, CA 94016",11.95
,,,,,,,
2629,298169,AAA Batteries (4-pack),1,2.99,21/12/2019 06:34,"365 River St, San Francisco, CA 94016",2.99
,,,,,,,
2630,298170,Apple Airpods Headphones,1,150,9/12/2019 0:22,"201 West St, New York City, NY 10001",150
,,,,,,,
2631,298171,AA Batteries (4-pack),1,3.84,10/12/2019 14:36,"789 Park St, San Francisco, CA 94016",3.84
,,,,,,,
2632,298172,27in FHD Monitor,1,149.99,20/12/2019 12:58,"26 Jefferson St, Atlanta, GA 30301",149.99
,,,,,,,
2633,298173,USB-C Charging Cable,1,11.95,1/12/2019 23:58,"185 Maple St, Boston, MA 02215",11.95
,,,,,,,
2634,298174,27in 4K Gaming Monitor,1,389.99,20/12/2019 15:11,"764 8th St, Los Angeles, CA 90001",389.99
,,,,,,,
2635,298175,AAA Batteries (4-pack),1,2.99,17/12/2019 17:13,"454 Spruce St, San Francisco, CA 94016",2.99
,,,,,,,
2636,298176,USB-C Charging Cable,1,11.95,13/12/2019 15:12,"224 10th St, New York City, NY 10001",11.95
,,,,,,,
2637,298177,AA Batteries (4-pack),3,3.84,21/12/2019 13:57,"35 Johnson St, Seattle, WA 98101",11.52
,,,,,,,
2638,298178,Lightning Charging Cable,1,14.95,31/12/2019 07:15,"550 2nd St, Portland, OR 97035",14.95
,,,,,,,
2639,298179,Bose SoundSport Headphones,1,99.99,6/12/2019 9:10,"748 Elm St, Atlanta, GA 30301",99.99
,,,,,,,
2640,298180,Lightning Charging Cable,1,14.95,21/12/2019 18:23,"669 13th St, San Francisco, CA 94016",14.95
,,,,,,,
2641,298181,AAA Batteries (4-pack),1,2.99,15/12/2019 23:37,"338 Cherry St, San Francisco, CA 94016",2.99
,,,,,,,
2642,298182,AA Batteries (4-pack),2,3.84,29/12/2019 13:17,"508 Adams St, San Francisco, CA 94016",7.68
,,,,,,,
2643,298183,USB-C Charging Cable,1,11.95,28/12/2019 18:08,"32 Dogwood St, Atlanta, GA 30301",11.95
,,,,,,,
2644,298184,Macbook Pro Laptop,1,1700,3/12/2019 13:43,"26 9th St, Austin, TX 73301",1700
,,,,,,,
2645,298185,Wired Headphones,1,11.99,6/12/2019 14:23,"82 1st St, San Francisco, CA 94016",11.99
,,,,,,,
2646,298186,34in Ultrawide Monitor,1,379.99,22/12/2019 00:02,"678 Willow St, Austin, TX 73301",379.99
,,,,,,,
2647,298187,34in Ultrawide Monitor,1,379.99,27/12/2019 16:03,"848 Willow St, Atlanta, GA 30301",379.99
,,,,,,,
2648,298188,Lightning Charging Cable,1,14.95,13/12/2019 12:51,"209 Cherry St, Seattle, WA 98101",14.95
,,,,,,,
2649,298189,AAA Batteries (4-pack),1,2.99,18/12/2019 12:39,"677 Center St, Portland, OR 97035",2.99
,,,,,,,
2650,298190,34in Ultrawide Monitor,1,379.99,2/12/2019 17:10,"973 Madison St, Atlanta, GA 30301",379.99
,,,,,,,
2651,298191,Lightning Charging Cable,2,14.95,17/12/2019 22:55,"449 Lakeview St, New York City, NY 10001",29.9
,,,,,,,
2652,298192,AA Batteries (4-pack),2,3.84,12/12/2019 13:32,"43 Church St, Boston, MA 02215",7.68
,,,,,,,
2653,298193,AAA Batteries (4-pack),1,2.99,29/12/2019 13:09,"210 Johnson St, San Francisco, CA 94016",2.99
,,,,,,,
2654,298194,Lightning Charging Cable,1,14.95,16/12/2019 19:13,"593 2nd St, San Francisco, CA 94016",14.95
,,,,,,,
2655,298195,Lightning Charging Cable,1,14.95,27/12/2019 18:00,"549 12th St, New York City, NY 10001",14.95
,,,,,,,
2656,298196,AAA Batteries (4-pack),2,2.99,8/12/2019 23:10,"675 Maple St, Los Angeles, CA 90001",5.98
,,,,,,,
2657,298197,Lightning Charging Cable,1,14.95,23/12/2019 18:17,"57 Jackson St, Los Angeles, CA 90001",14.95
,,,,,,,
2658,298198,USB-C Charging Cable,1,11.95,23/12/2019 08:30,"122 13th St, Seattle, WA 98101",11.95
,,,,,,,
2659,298199,AAA Batteries (4-pack),1,2.99,13/12/2019 16:11,"745 Church St, Boston, MA 02215",2.99
,,,,,,,
2660,298200,Wired Headphones,1,11.99,6/12/2019 10:36,"644 West St, New York City, NY 10001",11.99
,,,,,,,
2661,298201,AA Batteries (4-pack),1,3.84,20/12/2019 11:15,"329 Meadow St, Dallas, TX 75001",3.84
,,,,,,,
2662,298202,Lightning Charging Cable,1,14.95,22/12/2019 12:54,"107 Park St, Atlanta, GA 30301",14.95
,,,,,,,
2663,298203,Wired Headphones,1,11.99,28/12/2019 11:39,"317 North St, Los Angeles, CA 90001",11.99
,,,,,,,
2664,298204,Lightning Charging Cable,1,14.95,19/12/2019 09:30,"68 Madison St, San Francisco, CA 94016",14.95
,,,,,,,
2665,298205,Apple Airpods Headphones,1,150,29/12/2019 11:24,"446 Chestnut St, San Francisco, CA 94016",150
,,,,,,,
2666,298206,27in FHD Monitor,1,149.99,30/12/2019 22:23,"228 Elm St, New York City, NY 10001",149.99
,,,,,,,
2667,298207,iPhone,1,700,10/12/2019 10:57,"387 Maple St, San Francisco, CA 94016",700
,,,,,,,
2668,298208,34in Ultrawide Monitor,1,379.99,9/12/2019 14:35,"452 Cedar St, Seattle, WA 98101",379.99
,,,,,,,
2669,298209,Wired Headphones,1,11.99,27/12/2019 15:57,"943 Ridge St, New York City, NY 10001",11.99
,,,,,,,
2670,298210,Apple Airpods Headphones,1,150,5/12/2019 21:21,"131 Wilson St, San Francisco, CA 94016",150
,,,,,,,
2671,298211,Macbook Pro Laptop,1,1700,10/12/2019 19:35,"8 2nd St, New York City, NY 10001",1700
,,,,,,,
2672,298212,27in 4K Gaming Monitor,1,389.99,2/12/2019 21:24,"870 9th St, New York City, NY 10001",389.99
,,,,,,,
2673,298213,Apple Airpods Headphones,1,150,21/12/2019 14:52,"313 6th St, San Francisco, CA 94016",150
,,,,,,,
2674,298214,Google Phone,1,600,18/12/2019 16:16,"330 Elm St, San Francisco, CA 94016",600
,,,,,,,
2675,298215,AAA Batteries (4-pack),1,2.99,17/12/2019 10:16,"275 River St, Atlanta, GA 30301",2.99
,,,,,,,
2676,298216,Lightning Charging Cable,2,14.95,30/12/2019 13:36,"820 2nd St, Seattle, WA 98101",29.9
,,,,,,,
2677,298216,AAA Batteries (4-pack),1,2.99,30/12/2019 13:36,"820 2nd St, Seattle, WA 98101",2.99
,,,,,,,
2678,298217,Bose SoundSport Headphones,1,99.99,12/12/2019 23:53,"110 Willow St, New York City, NY 10001",99.99
,,,,,,,
2679,298218,Wired Headphones,1,11.99,22/12/2019 14:52,"906 7th St, Seattle, WA 98101",11.99
,,,,,,,
2680,298219,20in Monitor,1,109.99,3/12/2019 9:34,"118 11th St, Los Angeles, CA 90001",109.99
,,,,,,,
2681,298220,USB-C Charging Cable,1,11.95,27/12/2019 07:09,"447 9th St, Austin, TX 73301",11.95
,,,,,,,
2682,298221,Wired Headphones,1,11.99,31/12/2019 21:11,"669 Willow St, Portland, OR 97035",11.99
,,,,,,,
2683,298222,AAA Batteries (4-pack),1,2.99,3/12/2019 13:36,"77 Willow St, San Francisco, CA 94016",2.99
,,,,,,,
2684,298223,AA Batteries (4-pack),5,3.84,2/12/2019 14:17,"84 South St, Portland, OR 97035",19.2
,,,,,,,
2685,298224,AA Batteries (4-pack),1,3.84,28/12/2019 18:10,"877 Forest St, Seattle, WA 98101",3.84
,,,,,,,
2686,298225,AAA Batteries (4-pack),5,2.99,5/12/2019 15:41,"50 4th St, Atlanta, GA 30301",14.95
,,,,,,,
2687,298226,AA Batteries (4-pack),1,3.84,17/12/2019 20:37,"688 River St, San Francisco, CA 94016",3.84
,,,,,,,
2688,298227,ThinkPad Laptop,1,999.99,27/12/2019 15:06,"377 River St, Austin, TX 73301",999.99
,,,,,,,
2689,298228,27in 4K Gaming Monitor,1,389.99,21/12/2019 11:57,"222 Elm St, New York City, NY 10001",389.99
,,,,,,,
2690,298229,iPhone,1,700,25/12/2019 09:56,"769 Ridge St, New York City, NY 10001",700
,,,,,,,
2691,298230,Bose SoundSport Headphones,1,99.99,9/12/2019 17:59,"699 13th St, Boston, MA 02215",99.99
,,,,,,,
2692,298231,Lightning Charging Cable,1,14.95,20/12/2019 11:24,"546 Spruce St, Seattle, WA 98101",14.95
,,,,,,,
2693,298232,Wired Headphones,1,11.99,27/12/2019 16:50,"472 6th St, San Francisco, CA 94016",11.99
,,,,,,,
2694,298233,USB-C Charging Cable,1,11.95,2/12/2019 19:56,"976 7th St, Seattle, WA 98101",11.95
,,,,,,,
2695,298234,27in FHD Monitor,1,149.99,2/12/2019 23:39,"355 14th St, Los Angeles, CA 90001",149.99
,,,,,,,
2696,298235,27in FHD Monitor,1,149.99,29/12/2019 15:36,"472 1st St, New York City, NY 10001",149.99
,,,,,,,
2697,298236,AAA Batteries (4-pack),2,2.99,9/12/2019 6:01,"235 2nd St, Seattle, WA 98101",5.98
,,,,,,,
2698,298237,Google Phone,1,600,15/12/2019 02:06,"985 Park St, New York City, NY 10001",600
,,,,,,,
2699,298238,AAA Batteries (4-pack),3,2.99,23/12/2019 12:54,"560 Church St, Austin, TX 73301",8.97
,,,,,,,
2700,298239,27in FHD Monitor,1,149.99,9/12/2019 9:12,"77 West St, Boston, MA 02215",149.99
,,,,,,,
2701,298240,iPhone,1,700,10/12/2019 7:03,"923 Hill St, Los Angeles, CA 90001",700
,,,,,,,
2702,298241,iPhone,1,700,30/12/2019 07:27,"418 8th St, Atlanta, GA 30301",700
,,,,,,,
2703,298242,Wired Headphones,1,11.99,26/12/2019 07:53,"478 Elm St, Dallas, TX 75001",11.99
,,,,,,,
2704,298243,AAA Batteries (4-pack),1,2.99,24/12/2019 19:51,"232 Lake St, San Francisco, CA 94016",2.99
,,,,,,,
2705,298244,Apple Airpods Headphones,1,150,1/12/2019 15:28,"452 Ridge St, Boston, MA 02215",150
,,,,,,,
2706,298245,USB-C Charging Cable,1,11.95,29/12/2019 08:36,"495 Spruce St, Boston, MA 02215",11.95
,,,,,,,
2707,298246,USB-C Charging Cable,2,11.95,17/12/2019 13:25,"897 6th St, Austin, TX 73301",23.9
,,,,,,,
2708,298247,Flatscreen TV,1,300,6/12/2019 17:10,"593 Washington St, San Francisco, CA 94016",300
,,,,,,,
2709,298248,USB-C Charging Cable,1,11.95,6/12/2019 13:57,"486 Adams St, San Francisco, CA 94016",11.95
,,,,,,,
2710,298249,27in 4K Gaming Monitor,1,389.99,23/12/2019 05:16,"826 Highland St, Los Angeles, CA 90001",389.99
,,,,,,,
2711,298250,AAA Batteries (4-pack),1,2.99,12/12/2019 12:12,"572 Madison St, San Francisco, CA 94016",2.99
,,,,,,,
2712,298251,ThinkPad Laptop,1,999.99,24/12/2019 09:49,"16 Wilson St, Austin, TX 73301",999.99
,,,,,,,
2713,298252,AA Batteries (4-pack),1,3.84,1/12/2019 17:23,"326 5th St, Austin, TX 73301",3.84
,,,,,,,
2714,298253,AA Batteries (4-pack),1,3.84,15/12/2019 14:15,"806 Pine St, San Francisco, CA 94016",3.84
,,,,,,,
2715,298254,Lightning Charging Cable,1,14.95,15/12/2019 17:28,"853 7th St, Dallas, TX 75001",14.95
,,,,,,,
2716,298255,Bose SoundSport Headphones,1,99.99,4/12/2019 19:01,"182 Wilson St, Los Angeles, CA 90001",99.99
,,,,,,,
2717,298256,Wired Headphones,1,11.99,17/12/2019 13:02,"454 Walnut St, Los Angeles, CA 90001",11.99
,,,,,,,
2718,298257,27in 4K Gaming Monitor,1,389.99,22/12/2019 11:29,"915 Washington St, San Francisco, CA 94016",389.99
,,,,,,,
2719,298258,LG Washing Machine,1,600,29/12/2019 16:05,"929 11th St, San Francisco, CA 94016",600
,,,,,,,
2720,298259,USB-C Charging Cable,1,11.95,8/12/2019 18:07,"730 South St, San Francisco, CA 94016",11.95
,,,,,,,
2721,298260,Wired Headphones,3,11.99,10/12/2019 23:14,"703 South St, San Francisco, CA 94016",35.97
,,,,,,,
2722,298261,Wired Headphones,1,11.99,28/12/2019 04:58,"9 5th St, Portland, OR 97035",11.99
,,,,,,,
2723,298262,AA Batteries (4-pack),1,3.84,2/12/2019 0:02,"68 5th St, Seattle, WA 98101",3.84
,,,,,,,
2724,298263,Google Phone,1,600,25/12/2019 20:16,"333 Maple St, San Francisco, CA 94016",600
,,,,,,,
2725,298264,USB-C Charging Cable,1,11.95,8/12/2019 11:10,"177 11th St, San Francisco, CA 94016",11.95
,,,,,,,
2726,298265,Lightning Charging Cable,1,14.95,9/12/2019 7:04,"227 Hickory St, San Francisco, CA 94016",14.95
,,,,,,,
2727,298266,Bose SoundSport Headphones,1,99.99,4/12/2019 7:13,"792 Cedar St, Los Angeles, CA 90001",99.99
,,,,,,,
2728,298267,27in FHD Monitor,1,149.99,21/12/2019 22:32,"252 Jackson St, Atlanta, GA 30301",149.99
,,,,,,,
2729,298268,AA Batteries (4-pack),2,3.84,17/12/2019 13:49,"3 South St, San Francisco, CA 94016",7.68
,,,,,,,
2730,298269,Macbook Pro Laptop,1,1700,18/12/2019 13:44,"553 12th St, Austin, TX 73301",1700
,,,,,,,
2731,298270,USB-C Charging Cable,1,11.95,10/12/2019 21:05,"762 Church St, Seattle, WA 98101",11.95
,,,,,,,
2732,298271,Wired Headphones,2,11.99,27/12/2019 14:24,"543 Hill St, San Francisco, CA 94016",23.98
,,,,,,,
2733,298272,USB-C Charging Cable,1,11.95,9/12/2019 14:19,"448 6th St, Los Angeles, CA 90001",11.95
,,,,,,,
2734,298273,Apple Airpods Headphones,1,150,9/12/2019 8:13,"51 Lake St, Atlanta, GA 30301",150
,,,,,,,
2735,298274,20in Monitor,1,109.99,14/12/2019 21:51,"16 Sunset St, Seattle, WA 98101",109.99
,,,,,,,
2736,298275,Apple Airpods Headphones,1,150,17/12/2019 05:08,"59 Lakeview St, New York City, NY 10001",150
,,,,,,,
2737,298276,27in 4K Gaming Monitor,1,389.99,8/12/2019 15:15,"368 West St, Boston, MA 02215",389.99
,,,,,,,
2738,298277,27in FHD Monitor,1,149.99,28/12/2019 22:32,"834 11th St, Seattle, WA 98101",149.99
,,,,,,,
2739,298278,USB-C Charging Cable,1,11.95,6/12/2019 3:52,"449 Ridge St, San Francisco, CA 94016",11.95
,,,,,,,
2740,298279,Lightning Charging Cable,1,14.95,31/12/2019 01:20,"210 14th St, New York City, NY 10001",14.95
,,,,,,,
2741,298280,AA Batteries (4-pack),1,3.84,9/12/2019 15:35,"653 Spruce St, Dallas, TX 75001",3.84
,,,,,,,
2742,298281,Apple Airpods Headphones,1,150,30/12/2019 08:57,"988 Lake St, Austin, TX 73301",150
,,,,,,,
2743,298282,AA Batteries (4-pack),2,3.84,19/12/2019 17:40,"944 1st St, Los Angeles, CA 90001",7.68
,,,,,,,
2744,298283,ThinkPad Laptop,1,999.99,11/12/2019 9:56,"402 Johnson St, Atlanta, GA 30301",999.99
,,,,,,,
2745,298284,AAA Batteries (4-pack),2,2.99,11/12/2019 22:37,"444 Wilson St, San Francisco, CA 94016",5.98
,,,,,,,
2746,298285,Lightning Charging Cable,1,14.95,21/12/2019 12:19,"966 Lincoln St, San Francisco, CA 94016",14.95
,,,,,,,
2747,298286,USB-C Charging Cable,1,11.95,2/12/2019 8:40,"522 11th St, San Francisco, CA 94016",11.95
,,,,,,,
2748,298287,LG Dryer,1,600,4/12/2019 19:13,"947 Cherry St, Los Angeles, CA 90001",600
,,,,,,,
2749,298288,27in FHD Monitor,1,149.99,17/12/2019 16:45,"206 Forest St, Dallas, TX 75001",149.99
,,,,,,,
2750,298289,Google Phone,1,600,4/12/2019 11:30,"188 7th St, Austin, TX 73301",600
,,,,,,,
2751,298289,USB-C Charging Cable,1,11.95,4/12/2019 11:30,"188 7th St, Austin, TX 73301",11.95
,,,,,,,
2752,298290,Lightning Charging Cable,1,14.95,17/12/2019 06:23,"80 2nd St, Atlanta, GA 30301",14.95
,,,,,,,
2753,298291,AA Batteries (4-pack),3,3.84,1/12/2019 12:19,"619 River St, San Francisco, CA 94016",11.52
,,,,,,,
2754,298292,Lightning Charging Cable,1,14.95,5/12/2019 11:34,"797 Washington St, San Francisco, CA 94016",14.95
,,,,,,,
2755,298293,USB-C Charging Cable,1,11.95,15/12/2019 20:59,"214 1st St, Dallas, TX 75001",11.95
,,,,,,,
2756,298294,AA Batteries (4-pack),1,3.84,2/12/2019 20:37,"145 North St, Seattle, WA 98101",3.84
,,,,,,,
2757,298295,AAA Batteries (4-pack),4,2.99,17/12/2019 17:46,"898 Adams St, Atlanta, GA 30301",11.96
,,,,,,,
2758,298296,iPhone,1,700,11/12/2019 7:12,"207 13th St, Boston, MA 02215",700
,,,,,,,
2759,298297,USB-C Charging Cable,1,11.95,6/12/2019 14:27,"383 Wilson St, San Francisco, CA 94016",11.95
,,,,,,,
2760,298298,Wired Headphones,1,11.99,26/12/2019 12:08,"317 Maple St, San Francisco, CA 94016",11.99
,,,,,,,
2761,298299,ThinkPad Laptop,1,999.99,21/12/2019 12:28,"158 Washington St, Los Angeles, CA 90001",999.99
,,,,,,,
2762,298300,AAA Batteries (4-pack),2,2.99,24/12/2019 21:55,"137 9th St, Dallas, TX 75001",5.98
,,,,,,,
2763,298301,Wired Headphones,1,11.99,29/12/2019 08:45,"13 4th St, Dallas, TX 75001",11.99
,,,,,,,
2764,298302,Lightning Charging Cable,1,14.95,25/12/2019 14:41,"531 North St, Boston, MA 02215",14.95
,,,,,,,
2765,298303,27in FHD Monitor,1,149.99,16/12/2019 21:02,"547 Jefferson St, San Francisco, CA 94016",149.99
,,,,,,,
2766,298304,AA Batteries (4-pack),1,3.84,25/12/2019 23:20,"951 Center St, Los Angeles, CA 90001",3.84
,,,,,,,
2767,298305,Apple Airpods Headphones,1,150,29/12/2019 09:48,"111 Meadow St, San Francisco, CA 94016",150
,,,,,,,
2768,298306,Apple Airpods Headphones,1,150,24/12/2019 20:40,"901 Johnson St, San Francisco, CA 94016",150
,,,,,,,
2769,298307,Bose SoundSport Headphones,1,99.99,2/12/2019 8:14,"638 Pine St, Seattle, WA 98101",99.99
,,,,,,,
2770,298308,Google Phone,1,600,21/12/2019 15:07,"829 Dogwood St, San Francisco, CA 94016",600
,,,,,,,
2771,298309,Apple Airpods Headphones,1,150,7/12/2019 1:16,"969 Jackson St, New York City, NY 10001",150
,,,,,,,
2772,298310,USB-C Charging Cable,1,11.95,24/12/2019 05:54,"710 Highland St, San Francisco, CA 94016",11.95
,,,,,,,
2773,298311,USB-C Charging Cable,1,11.95,27/12/2019 13:03,"995 Walnut St, San Francisco, CA 94016",11.95
,,,,,,,
2774,298312,AA Batteries (4-pack),1,3.84,4/12/2019 12:26,"715 South St, Boston, MA 02215",3.84
,,,,,,,
2775,298313,AAA Batteries (4-pack),1,2.99,26/12/2019 10:30,"228 Jackson St, Portland, OR 97035",2.99
,,,,,,,
2776,298314,27in 4K Gaming Monitor,1,389.99,15/12/2019 18:24,"474 Wilson St, Atlanta, GA 30301",389.99
,,,,,,,
2777,298315,Lightning Charging Cable,1,14.95,9/12/2019 9:58,"834 12th St, Boston, MA 02215",14.95
,,,,,,,
2778,298316,Lightning Charging Cable,1,14.95,27/12/2019 10:17,"373 Elm St, Seattle, WA 98101",14.95
,,,,,,,
2779,298317,USB-C Charging Cable,1,11.95,30/12/2019 11:23,"718 Adams St, Dallas, TX 75001",11.95
,,,,,,,
2780,298318,Lightning Charging Cable,1,14.95,28/12/2019 16:20,"547 9th St, San Francisco, CA 94016",14.95
,,,,,,,
2781,298319,AAA Batteries (4-pack),2,2.99,29/12/2019 13:30,"959 Walnut St, Los Angeles, CA 90001",5.98
,,,,,,,
2782,298320,AAA Batteries (4-pack),2,2.99,21/12/2019 03:27,"374 6th St, Atlanta, GA 30301",5.98
,,,,,,,
2783,298321,USB-C Charging Cable,1,11.95,21/12/2019 05:58,"183 Spruce St, New York City, NY 10001",11.95
,,,,,,,
2784,298322,Apple Airpods Headphones,1,150,7/12/2019 10:06,"126 2nd St, New York City, NY 10001",150
,,,,,,,
2785,298323,34in Ultrawide Monitor,1,379.99,18/12/2019 12:38,"221 Madison St, Portland, OR 97035",379.99
,,,,,,,
2786,298324,AA Batteries (4-pack),1,3.84,17/12/2019 16:23,"955 Meadow St, Portland, ME 04101",3.84
,,,,,,,
2787,298325,AA Batteries (4-pack),1,3.84,13/12/2019 05:43,"385 7th St, Dallas, TX 75001",3.84
,,,,,,,
2788,298326,USB-C Charging Cable,1,11.95,20/12/2019 23:34,"271 Willow St, Portland, OR 97035",11.95
,,,,,,,
2789,298327,20in Monitor,1,109.99,21/12/2019 10:37,"215 Lake St, New York City, NY 10001",109.99
,,,,,,,
2790,298328,Flatscreen TV,1,300,6/12/2019 19:00,"150 Maple St, San Francisco, CA 94016",300
,,,,,,,
2791,298329,Macbook Pro Laptop,1,1700,2/12/2019 7:47,"99 Main St, New York City, NY 10001",1700
,,,,,,,
2792,298330,USB-C Charging Cable,1,11.95,19/12/2019 12:07,"794 Jefferson St, Los Angeles, CA 90001",11.95
,,,,,,,
2793,298331,Flatscreen TV,1,300,23/12/2019 19:43,"876 Pine St, San Francisco, CA 94016",300
,,,,,,,
